"","Education (years)",,,
"","","1–5 (n = 89)","6–11 (n = 251)","≥ 12 (n = 191)"
"Test","n","M (SD)","M (SD)","M (SD)"
"Cognitive Screen","","","",""
" CERAD Total","531","69.6 (11.83)","72.24 (11.11)","72.31 (10.6)"
" MMSE /30","531","28.47 (2.48)","28.9 (1.5)","28.86 (1.72)"
"Language","","","",""
" Semantic Fluency (Animals)","531","16.87 (4.71)","17.95 (4.65)","17.92 (4.48)"
" BNT-15 /15","531","11.91 (2.26)","12.22 (1.92)","12.57 (1.74)"
"Memory","","","",""
" Word List Learning /30","531","16.78 (3.9)","17.06 (3.97)","17.25 (3.89)"
" Word List Delayed Recall /10","531","6.28 (1.62)","6.31 (1.8)","6.38 (1.83)"
" Word List Recognition /10","531","9.7 (0.78)","9.54 (0.96)","9.54 (0.95)"
" MIS Free Recall /8","531","6.57 (1.86)","6.63 (1.77)","6.59 (1.85)"
" MIS Cued Recall /8","531","0.8 (0.68)","0.93 (0.73)","1.03 (0.64)"
" MCT List 1 Cued Recall","531","14.78 (1.62)","14.85 (1.89)","14.94 (1.73)"
" MCT List 2 Cued Recall","531","12.01 (3.51)","12.37 (3.27)","12.12 (3.07)"
" MCT List 1 Cued Recall 2","531","13.83 (2.43)","14.42 (2.17)","14.28 (2.28)"
" MCT List 2 Cued Recall 2","531","12.18 (3.28)","12.78 (3.23)","12.52 (2.98)"
" MCT Total Free Recall","531","18.58 (5.58)","20.06 (5.61)","19.43 (5.51)"
" CP Delayed Recall /11","531","7.81 (3.02)","8.63 (2.5)","8.49 (2.46)"
" RCFT Delayed Recall /16","531","14.29 (6.64)","15.74 (7.22)","15.17 (6.65)"
"Visuospatial","","","",""
" CP Copy /11","531","9.48 (1.79)","9.73 (1.53)","9.81 (1.42)"
" RCFT Copy /36","531","26.81 (5.99)","27.52 (6)","28.41 (5.17)"
" Raven's Progressive Matrices /12","531","8.93 (1.99)","8.65 (2.08)","8.55 (1.84)"
"Processing Speed","","","",""
" TMT-A (seconds)","531","73.74 (42.58)","65.63 (50.75)","63.93 (38.85)"
" WAIS-III Digit Symbol","531","42.82 (17.4)","46.19 (18.29)","43.56 (17.55)"
" A Cancelation Correct /16","531","14.53 (0.83)","14.48 (1.08)","14.5 (0.92)"
"Executive Functioning","","","",""
" Phonemic Fluency (FAS)","531","24.92 (12.17)","27.19 (11.18)","26.43 (11.81)"
" WAIS-III Arithmetic","531","7.36 (2.62)","7.52 (2.2)","7.86 (1.98)"
" WCST Total Correct","531","20.88 (8.91)","21.56 (7.96)","20.94 (7.83)"
" WCST Total Errors","531","27.12 (8.91)","26.41 (8.01)","27 (7.84)"
" WCST Total Categories /6","531","2.62 (1.56)","2.8 (1.35)","2.73 (1.31)"
" WCST Perseverations","531","19.67 (9.23)","18.46 (7.59)","19.13 (7.82)"
" WCST Failure Maintain Set","531","0.49 (0.82)","0.46 (0.78)","0.45 (0.85)"
