"Test","n","134","182","87"
"Cognitive Screen","","","",""
" CERAD Total","403","70.56 (10.27)","71.62 (11.67)","74.2 (9.63)"
" MMSE /30","403","28.84 (1.72)","28.99 (1.63)","28.89 (1.42)"
"Language","","","",""
" Semantic Fluency (Animals)","403","17.66 (5.15)","17.83 (5.22)","18.56 (4.4)"
" BNT-15 /15","403","11.97 (2.19)","12.36 (2.18)","12.66 (1.86)"
"Memory","","","",""
" Word List Learning /30","403","16.67 (3.32)","16.9 (3.85)","17.77 (3.66)"
" Word List Delayed Recall /10","403","6.37 (1.61)","6.21 (1.9)","6.35 (1.73)"
" Word List Recognition /10","403","9.56 (0.94)","9.74 (0.69)","9.64 (0.71)"
" MIS Free Recall /8","403","6.52 (1.57)","6.73 (1.78)","6.56 (1.66)"
" MIS Cued Recall /8","403","0.82 (0.59)","0.9 (0.8)","1.05 (0.63)"
" MCT List 1 Cued Recall","403","14.66 (1.9)","14.66 (1.96)","14.92 (2)"
" MCT List 2 Cued Recall","403","11.59 (3.24)","11.79 (3.57)","12.19 (3.24)"
" MCT List 1 Cued Recall 2","403","14.06 (2.36)","14.18 (2.43)","14.67 (2.01)"
" MCT List 2 Cued Recall 2","403","11.97 (3.21)","12.03 (3.65)","12.59 (3.03)"
" MCT Total Free Recall","403","19.03 (5.94)","19.56 (6.16)","19.67 (5.12)"
" CP Delayed Recall /11","403","7.99 (2.81)","8.43 (2.79)","8.67 (2.45)"
" RCFT Delayed Recall /16","403","13.91 (6.42)","15.62 (7.02)","15.95 (7.34)"
"Visuospatial","","","",""
" CP Copy /11","403","9.6 (1.67)","9.81 (1.45)","9.74 (1.47)"
" RCFT Copy /36","403","26.84 (5.81)","27.99 (6.4)","28.63 (5.87)"
" Raven's Progressive Matrices /12","403","8.59 (1.93)","8.87 (1.94)","9.12 (1.64)"
"Processing Speed","","","",""
" TMT-A (Seconds)","403","77.89 (48.04)","67.86 (45.16)","60.52 (38.46)"
" WAIS-III Digit Symbol","403","40.52 (18.19)","47.63 (20.09)","48.09 (18.11)"
" A Cancelation Correct /16","403","14.74 (0.54)","14.41 (0.93)","15 (0)"
"Executive Functioning","","","",""
" Phonemic Fluency (FAS)","403","23.92 (11.95)","24.43 (11.21)","27.17 (10.53)"
" WAIS-III Arithmetic","403","8.33 (1.32)","7.96 (2.16)","8.37 (1.6)"
" WCST Total Correct","403","21.11 (9.14)","22.85 (8.44)","19 (8.33)"
" WCST Total Errors","403","26.86 (9.17)","25.14 (8.45)","29 (8.33)"
" WCST Total Categories /6","403","2.83 (1.55)","3.12 (1.53)","2.6 (1.48)"
" WCST Perseverations","403","19.66 (8.84)","17.65 (8.3)","20.33 (8.72)"
" WCST Failure Maintain Set","403","0.42 (0.89)","0.38 (0.65)","0.35 (0.77)"
