"Test","n","38","145"
"Cognitive Screen","","",""
" CERAD Total","183","72.26 (12.75)","73.23 (11.34)"
" MMSE /30","183","28.32 (2.29)","28.88 (1.51)"
"Language","","",""
" Semantic Fluency (Animals)","183","17.95 (4.76)","18.53 (4.98)"
" BNT-15 /15","183","11.76 (2.14)","12.17 (1.95)"
"Memory","","",""
" Word List Learning /30","183","16.58 (5.1)","16.81 (3.9)"
" Word List Delayed Recall /10","183","6.18 (2.15)","6.27 (1.8)"
" Word List Recognition /10","183","9.59 (0.89)","9.5 (0.91)"
" MIS Free Recall /8","183","6.71 (1.51)","6.36 (1.84)"
" MIS Cued Recall /8","183","0.67 (0.49)","0.95 (0.69)"
" MCT List 1 Cued Recall","183","14.55 (2.43)","14.84 (1.68)"
" MCT List 2 Cued Recall","183","11.68 (3.28)","11.61 (3.41)"
" MCT List 1 Cued Recall 2","183","13.58 (2.73)","14.22 (2.29)"
" MCT List 2 Cued Recall 2","183","12.29 (3.2)","12.21 (3.14)"
" MCT Total Free Recall","183","18.32 (5.88)","18.99 (6.16)"
" CP Delayed Recall /11","183","7.53 (3.45)","8.1 (2.62)"
" RCFT Delayed Recall /16","183","14.61 (7.69)","14.07 (7.35)"
"Visuospatial","","",""
" CP Copy /11","183","9.63 (1.55)","9.66 (1.47)"
" RCFT Copy /36","183","27.37 (6.8)","27.2 (5.87)"
" Raven's Progressive Matrices /12","183","8.59 (2.2)","8.54 (1.97)"
"Processing Speed","","",""
" TMT-A (seconds)","183","76.03 (50.38)","69.41 (35.89)"
" WAIS-III Digit Symbol","183","42.32 (20.41)","43.5 (17.81)"
" A Cancelation Correct /16","183","13.5 (1.52)","14.44 (1.34)"
"Executive Functioning","","",""
" Phonemic Fluency (FAS)","183","22.62 (11.78)","24.09 (11.38)"
" WAIS-III Arithmetic","183","8 (2.35)","7.7 (1.92)"
" WCST Total Correct","183","21.61 (7.2)","21.48 (8.95)"
" WCST Total Errors","183","26.39 (7.2)","26.52 (8.95)"
" WCST Total Categories /6","183","2.69 (1.31)","2.75 (1.45)"
" WCST Perseverations","183","19.47 (7.04)","18.45 (8.62)"
" WCST Failure Maintain Set","183","0.69 (1.31)","0.61 (0.91)"
