"Test","n","0–4 (n = 50) M (SD)","≥ 5 (n = 120) M (SD)"
"Cognitive Screen","","",""
" CERAD Total","170","73.27 (10.92)","73 (11.6)"
" MMSE /30","170","28.88 (2.04)","28.85 (1.87)"
"Language","","",""
" Semantic Fluency (Animals)","170","17.6 (4.46)","17.74 (5.32)"
" BNT-15 /15","170","12.66 (1.81)","12.41 (1.89)"
"Memory","","",""
" Word List Learning /30","170","16.46 (4.98)","17.37 (4.11)"
" Word List Delayed Recall /10","170","6.1 (2.35)","6.25 (1.76)"
" Word List Recognition /10","170","9.39 (1.07)","9.49 (0.98)"
" MIS Free Recall /8","170","6.83 (1.38)","6.2 (1.81)"
" MIS Cued Recall /8","170","0.76 (0.44)","0.95 (0.63)"
" MCT List 1 Cued Recall","170","14.81 (1.65)","14.81 (1.75)"
" MCT List 2 Cued Recall","170","11.75 (3.88)","11.74 (3.45)"
" MCT List 1 Cued Recall 2","170","14.31 (2.21)","14.44 (1.93)"
" MCT List 2 Cued Recall 2","170","12.53 (3.64)","12.34 (3.38)"
" MCT Total Free Recall","170","18.81 (6.35)","19.56 (5.66)"
" CP Delayed Recall /11","170","7.88 (3.03)","8.13 (2.72)"
" RCFT Delayed Recall /16","170","14.74 (8.19)","15.12 (7.28)"
"Visuospatial","","",""
" CP Copy /11","170","9.62 (1.52)","9.77 (1.63)"
" RCFT Copy /36","170","26.82 (6.91)","27.9 (6.77)"
" Raven's Progressive Matrices /12","170","8.19 (2.11)","8.79 (1.94)"
"Processing Speed","","",""
" TMT-A (seconds)","170","68.15 (38.51)","69.43 (34.76)"
"  WAIS-III Digit Symbol","170","45.03 (19.26)","42.19 (16.3)"
" A Cancelation Correct /16","170","14 (1.24)","14.38 (0.81)"
"Executive Functioning","","",""
" Phonemic Fluency (FAS)","170","23.8 (13.57)","24.38 (10.81)"
" WAIS-III Arithmetic","170","7.91 (2.39)","8.07 (1.54)"
" WCST Total Correct","170","19.53 (7.9)","20.5 (8.95)"
" WCST Total Errors","170","28.47 (7.9)","27.47 (9)"
" WCST Total Categories /6","170","2.38 (1.36)","2.72 (1.46)"
" WCST Perseverations","170","20.13 (7.65)","20.58 (9.78)"
" WCST Failure Maintain Set","170","0.45 (0.65)","0.44 (0.76)"
