"","","Education (years)",
"","","0–4 (n = 40)","≥ 5 (n = 80)"
"Test","n","M (SD)","M (SD)"
"Cognitive Screen","","",""
" CERAD Total","120","70.41 (10.71)","72.76 (11.69)"
" MMSE /30","120","28.6 (1.88)","28.83 (1.44)"
"Language","","",""
" Semantic Fluency (Animals)","120","16.38 (3.71)","17.69 (5.38)"
" BNT-15 /15","120","12.18 (2.07)","12.57 (1.97)"
"Memory","","",""
" Word List Learning /30","120","16 (4.19)","17.34 (3.98)"
" Word List Delayed Recall /10","120","6.08 (1.65)","6.32 (1.84)"
" Word List Recognition /10","120","9.59 (0.82)","9.45 (1.14)"
" MIS Free Recall /8","120","6.24 (1.95)","6.3 (1.82)"
" MIS Cued Recall /8","120","1.05 (0.78)","0.92 (0.66)"
" MCT List 1 Cued Recall","120","14.44 (1.93)","14.79 (1.56)"
" MCT List 2 Cued Recall","120","11.35 (3.89)","12.12 (3.15)"
" MCT List 1 Cued Recall 2","120","13.41 (2.79)","14.33 (2.04)"
" MCT List 2 Cued Recall 2","120","11.85 (3.47)","12.77 (2.74)"
" MCT Total Free Recall","120","17.74 (6.32)","20.2 (5.48)"
" CP Delayed Recall /11","120","7.58 (2.74)","8.12 (2.59)"
" RCFT Delayed Recall /16","120","13.91 (6.49)","13.96 (6.4)"
"Visuospatial","","",""
" CP Copy /11","120","9.83 (1.48)","9.6 (1.63)"
" RCFT Copy /36","120","26.87 (6.33)","28.01 (5.04)"
" Raven's Progressive Matrices /12","120","8.41 (1.91)","8.66 (1.57)"
"Processing Speed","","",""
" TMT-A (seconds)","120","69.89 (39.12)","76.49 (110.08)"
" WAIS-III Digit Symbol","120","41.18 (19.28)","42.76 (18.12)"
" A Cancelation Correct /16","120","13.6 (1.52)","14.69 (0.63)"
"Executive Functioning","","",""
" Phonemic Fluency (FAS)","120","24.17 (10.9)","24.5 (11.92)"
" WAIS-III Arithmetic","120","6.75 (1.26)","7.92 (1.88)"
" WCST Total Correct","120","18.37 (7.63)","19.96 (8.24)"
" WCST Total Errors","120","29.63 (7.63)","28.04 (8.24)"
" WCST Total Categories /6","120","2.45 (1.31)","2.56 (1.28)"
" WCST Perseverations","120","22.24 (7.73)","19.38 (7.97)"
" WCST Failure Maintain Set","120","0.35 (0.65)","0.33 (0.75)"
