"","","Education (years)",
"","","0–4 (n = 29)","≥ 5 (n = 38)"
"Test","n","M (SD)","M (SD)"
"Cognitive Screen","","",""
" CERAD Total","67","74.22 (12.57)","72.19 (9.49)"
" MMSE /30","67","28.52 (2.43)","28.32 (1.92)"
"Language","","",""
" Semantic Fluency (Animals)","67","17.71 (4.66)","17.13 (4.06)"
" BNT-15 /15","67","12.68 (2.2)","12.61 (1.84)"
"Memory","","",""
" Word List Learning /30","67","17.54 (3.95)","16 (3.68)"
" Word List Delayed Recall /10","67","6.46 (1.9)","5.78 (2.11)"
" Word List Recognition /10","67","9.52 (1.12)","9.55 (0.68)"
" MIS Free Recall /8","67","6.52 (2.11)","6.39 (2.28)"
" MIS Cued Recall /8","67","1.3 (0.48)","1.31 (0.85)"
" MCT List 1 Cued Recall","67","14.78 (2.26)","14.52 (1.84)"
" MCT List 2 Cued Recall","67","11.57 (4.09)","11.26 (3.45)"
" MCT List 1 Cued Recall 2","67","14.61 (2.33)","14.23 (2.26)"
" MCT List 2 Cued Recall 2","67","12.43 (3.68)","11.94 (3.18)"
" MCT Total Free Recall","67","19.65 (6.29)","18.23 (6.06)"
" CP Delayed Recall /11","67","8.46 (2.47)","7.58 (2.93)"
" RCFT Delayed Recall /16","67","16.07 (6.44)","13.32 (6.8)"
"Visuospatial","","",""
" CP Copy /11","67","9.82 (1.25)","9.61 (1.46)"
" RCFT Copy /36","67","27.46 (5.16)","25.11 (8.01)"
" Raven's Progressive Matrices /12","67","8.55 (2.11)","8.42 (1.79)"
"Processing Speed","","",""
" TMT-A (seconds)","67","72.86 (54.75)","86.53 (70.13)"
" WAIS-III Digit Symbol","67","46 (18.11)","41.57 (18.56)"
" A Cancelation Correct /16","67","14.83 (0.41)","12.83 (2.64)"
"Executive Functioning","","",""
" Phonemic Fluency (FAS)","67","24.21 (12.43)","26.08 (12.31)"
" WAIS-III Arithmetic","67","8.2 (1.92)","7.6 (2.61)"
" WCST Total Correct","67","20.82 (8.05)","20.97 (7.89)"
" WCST Total Errors","67","27.18 (8.05)","27.03 (7.89)"
" WCST Total Categories /6","67","2.57 (1.17)","2.47 (1.4)"
" WCST Perseverations","67","19.14 (7.99)","18.06 (6.66)"
" WCST Failure Maintain Set","67","0.39 (0.58)","0.68 (1.3)"
