Test,n,"1-6, (n=33) M (SD)","7-12, (n=31) M (SD)","≥13, (n=35) M (SD)"
MMSE (estándar),99,27.42 (1.94),28.68 (1.17),29.57 (0.7)
FVS (estándar),99,19 (5),20.77 (4.79),25.74 (5.61)
BNT (estándar),99,13.7 (1.53),14.16 (0.82),14.57 (0.85)
LP-A (estándar),99,15.06 (3.87),15.71 (3.93),19.34 (3.24)
LP-RD (estándar),99,5.94 (1.73),6.23 (2.12),7.46 (1.34)
LP-R (estándar),99,8.67 (1.9),9.42 (0.92),9.8 (0.47)
PRX-C (estándar),99,8.39 (1.77),9.19 (1.74),9.83 (1.1)
PRX-E (estándar),99,7.67 (1.95),8.26 (1.75),9.06 (1.35)
TMT-A-time (estándar),99,56.64 (23.93),40.43 (12.17),37.54 (13.04)
RCOF-C-time (estándar),99,131.39 (45.61),109.55 (39.58),92.29 (26.7)
ROCF-C (estándar),99,28.08 (7.33),31.52 (3.74),32.23 (3.17)
ROCF-IR-time (estándar),99,98.58 (37.76),88.35 (28.37),87.66 (38.83)
ROCF-IR (estándar),99,15.06 (7.73),19.08 (7.15),20.66 (5.93)
FVF-F (estándar),99,9.15 (3.46),12.03 (3.57),13.97 (4.06)
FVF-A (estándar),99,7.36 (3.46),10.45 (3.89),13.29 (3.48)
FVF-S (estándar),99,8.88 (4.16),11.32 (4.58),14.34 (3.67)
RVN (estándar),99,8.97 (1.53),9.87 (1.57),10.26 (1.29)
MWCST-A (estándar),99,17.97 (7.38),23.94 (7.21),25.31 (7.24)
MWCDT-E (estándar),99,30.03 (7.38),24.06 (7.21),22.63 (7.26)
MWCST-CTG (estándar),99,2.09 (1.21),2.81 (1.28),3.2 (1.41)
MWCST-P (estándar),99,14.67 (7.57),13 (4.71),11.26 (5.46)
MIS (estándar),99,6.52 (1.7),7.06 (1.03),7.54 (0.66)
CLV (estándar),99,40.48 (13.23),55.58 (13.99),69.77 (11.66)
MCT-L1 (estándar),99,13.7 (2.89),15 (1.46),15.69 (0.63)
MCT-L2 (estándar),99,11.03 (3.45),12.74 (2.7),14.11 (1.68)
MCT-L1&2 (estándar),99,25.15 (5.72),28.06 (4.02),30.91 (1.84)
MCT-RL (estándar),99,19.33 (6.7),20.52 (6.25),22.6 (4.09)
