Test,n,"34","33","31"
MMSE (estándar),98,26.65 (2.47),28.58 (1.17),29.13 (0.99)
FVS (estándar),98,16.71 (4.78),20.79 (5.48),24.84 (4.62)
BNT (estándar),98,13.53 (1.28),14.09 (1.38),14.48 (0.85)
LP-A (estándar),98,12.47 (3.93),15 (2.88),17.32 (3.9)
LP-RD (estándar),98,4.41 (1.91),5.85 (1.68),6.26 (1.55)
LP-R (estándar),98,8.88 (1.32),9.52 (0.83),9.68 (0.75)
PRX-C (estándar),98,8.12 (1.65),8.73 (1.61),9.35 (1.11)
PRX-E (estándar),98,6.65 (2.39),8.18 (2.05),8.55 (1.73)
TMT-A-time (estándar),98,93.47 (41.61),60.67 (27.66),55.26 (25.65)
RCOF-C-time (estándar),98,179.65 (70.45),126.06 (54.48),105.39 (28.8)
ROCF-C (estándar),98,20.91 (9.04),28.42 (6.59),32.05 (3.39)
ROCF-IR-time (estándar),98,118.79 (54.44),95.24 (35.81),96.23 (43.74)
ROCF-IR (estándar),98,9.66 (5.26),14.39 (7.26),17.92 (5.57)
FVF-F (estándar),98,6.82 (4.14),11.67 (4.98),14.45 (4.05)
FVF-A (estándar),98,7.06 (4.06),10.94 (4.8),14.16 (3.56)
FVF-S (estándar),98,8.32 (4.35),11.58 (4.25),13.87 (3.28)
RVN (estándar),98,8.03 (1.85),9.21 (1.73),10.16 (1.46)
MWCST-A (estándar),98,16.91 (6.54),19.48 (6.85),19.45 (8.22)
MWCDT-E (estándar),98,31.03 (6.51),28.52 (6.85),28.55 (8.22)
MWCST-CTG (estándar),98,1.59 (0.92),2.12 (1.08),2.39 (1.38)
MWCST-P (estándar),98,13.76 (10.36),13.73 (5.98),14.87 (7.93)
MIS (estándar),98,5.59 (1.5),6.76 (1.28),7.13 (0.99)
CLV (estándar),98,27.88 (9.67),43.58 (12.05),51.52 (14.73)
MCT-L1 (estándar),98,13.15 (2.86),14.94 (1.95),15.61 (0.56)
MCT-L2 (estándar),98,9.21 (3.66),12.39 (2.25),13.55 (1.84)
MCT-L1&2 (estándar),98,23.29 (5.97),28.3 (4.13),30.32 (2.43)
MCT-RL (estándar),98,13.29 (6.81),19.3 (4.63),21.87 (4.67)

